duration,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,flowPktsPerSecond,flowBytesPerSecond,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,traffic_type
119994459.0,119994459.0,119970125.0,0.0,0.0,1399330.0,1211310.0,2348.136256898,513.2675260334,2373.7929432225,2724140.23717545,0.0,1208289.0,421.2682127924,9107.7591776459,1753114.0,11300000.0,39438693.0,16000000.0,1014624.0,1139537.6,1208289.0,74997.3853814251,BROWSING
143704195.0,143704195.0,42106019.0,0.0,0.0,101572528.0,854818.0,6986.1057365095,636.8988368048,603.2043810551,645213.405217572,0.0,101572528.0,1657.8320181814,345078.17588796,143704195.0,144000000.0,143704195.0,0.0,101572528.0,102000000.0,101572528.0,0.0,BROWSING
119994980.0,119994980.0,119966891.0,7.0,0.0,819852.0,819602.0,10201.9197415406,2341.4113043309,525.0302971008,597136.113527416,0.0,819581.0,1904.6822222222,17736.0172652298,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
119292282.0,119292282.0,119260024.0,3.0,0.0,912990.0,866900.0,11947.1489233851,3354.7123488045,381.7262880427,417330.552868458,0.0,837920.0,2619.7356377372,24218.4722011725,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
119772966.0,119772917.0,119772939.0,4.0,0.0,2894671.0,2923147.0,18210.8738026456,3644.2809894724,329.3314118981,383354.103462713,0.0,2894671.0,3036.5319440219,31326.4373534373,2210292.0,8688035.0,15165778.0,9160912.00416733,1799762.0,2347216.5,2894671.0,774217.578681536,BROWSING
112843093.0,112594036.0,112841256.0,6.0,0.0,871292.0,1046523.0,17189.9291603053,3654.0674200965,331.7261075075,382454.218974661,0.0,871292.0,3014.6156497115,28418.9819424038,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
116039979.0,116039979.0,116017467.0,5.0,0.0,7140191.0,7364626.0,18852.9616571893,5200.4781478327,245.3120057872,268282.968234594,0.0,7140191.0,4076.5845424205,53848.8306121284,3440026.0,5681338.0,7922650.0,3169693.82790941,1015521.0,4077856.0,7140191.0,4330795.6895297,BROWSING
119603717.0,119603717.0,119438102.0,2.0,3.0,26303606.0,26433361.0,19983.9126148705,12894.1057972579,127.5043985464,135182.094717006,0.0,26261644.0,7843.3810085907,224119.728398866,1409457.0,11900000.0,29243722.0,12300000.0,1034854.0,4654979.3,26261644.0,7768969.79734188,BROWSING
91034164.0,91012939.0,91012136.0,3.0,4.0,45019979.0,45022250.0,46340.600305499,42688.6191369606,45.0160667153,98716.6642185015,1.0,44999613.0,22219.712960703,994088.926542614,45019979.0,45500000.0,45992960.0,688001.463064941,44997352.0,45000000.0,44999613.0,1598.768119522,BROWSING
2848154.0,2842456.0,2824548.0,5.0,0.0,276401.0,276417.0,823.9002898551,451.8553831387,3406.7680329083,3116723.32324727,0.0,276350.0,293.563595135,4089.8226481344,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
119980025.0,119851605.0,119851574.0,2.0,1.0,9416497.0,9381362.0,34253.1023149471,23639.3637080868,71.4368912659,74938.6825015247,1.0,9249677.0,14000.0029171529,156903.753329079,1366163.0,8209418.14285714,38692017.0,9445401.95332015,1299990.0,3119349.92857143,9249677.0,2268340.25695987,BROWSING
117128315.0,117128315.0,116999255.0,2.0,2.0,12039477.0,12170023.0,35418.2990625945,23722.4766828873,70.3587343504,72681.400735595,0.0,12039477.0,14214.6013349515,218950.795536296,2716695.0,11600000.0,29462960.0,8623567.85168681,1184206.0,5158412.5,12039477.0,3678602.14672699,BROWSING
14401864.0,14401412.0,14379655.0,6.0,0.0,3374489.0,3399087.0,11586.0112630732,2680.7708799404,458.8989314161,520992.977020197,0.0,3374489.0,2179.4588377724,43961.7551818402,14129077.0,14100000.0,14129077.0,0.0,3374489.0,3374489.0,3374489.0,0.0,BROWSING
5783951.0,5783728.0,5761016.0,5.0,0.0,274062.0,274048.0,4027.6657381616,1091.9287338893,1160.7982156142,1278356.26546629,0.0,274038.0,861.6044987338,6416.8094267092,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
1037140.0,1029427.0,1015379.0,5.0,0.0,50972.0,50970.0,722.4049122807,298.027296742,4660.8943826292,4637725.86150375,0.0,50943.0,214.5954893441,1762.2010029593,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
877333.0,877308.0,852559.0,5.0,0.0,112811.0,112797.0,497.0583569405,261.2006740196,5734.424671134,5275495.16546169,0.0,112770.0,174.4200795229,2022.3590429748,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
1047108.0,1047082.0,1022958.0,6.0,0.0,25107.0,24285.0,1392.3962765958,325.9904397706,3716.9040824824,4197339.72044909,0.0,24271.0,269.1102544333,1372.4311456454,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
113950442.0,113950442.0,113790654.0,4.0,1.0,11493074.0,11622388.0,59691.1691985333,39510.64375,42.0445933856,42085.8306104684,0.0,11493074.0,23789.2363256785,311135.801534913,3092223.0,8127424.07142857,13607283.0,3929383.96103177,1522390.0,4983242.64285714,11493074.0,2922691.68314005,BROWSING
884206.0,883881.0,860422.0,4.0,0.0,76932.0,77009.0,1014.7887485649,290.781345049,4333.8317089004,4692979.91644481,0.0,76900.0,230.8029235187,1705.9389931522,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
118349839.0,118349839.0,118221011.0,3.0,2.0,14704953.0,14421490.0,75430.1077119184,57084.0226943506,30.7731724079,28301.94809137,2.0,14421490.0,32504.7621532546,339725.561766123,2161725.0,7395747.42857143,16737937.0,3924867.13282082,1231324.0,4230546.0,14421490.0,3546079.41654402,BROWSING
411092.0,411076.0,389355.0,1.0,0.0,27752.0,24629.0,825.453815261,231.0712166172,5315.1119457445,5743174.27729073,0.0,24629.0,188.2289377289,1221.1757767999,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
646234.0,644260.0,623687.0,21.0,0.0,30150.0,29985.0,2078.2580645161,471.7753403933,2528.4958699171,2859959.39551308,0.0,25812.0,395.7342314758,2043.7050150438,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
648504.0,647697.0,622223.0,10.0,0.0,41943.0,30549.0,1882.8401162791,491.0994475138,2487.2629929808,2732149.68604666,0.0,30534.0,402.2977667494,2298.9455313732,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
424284.0,424264.0,391864.0,4.0,0.0,37181.0,30386.0,1107.7389033943,311.0031746032,3877.1200422359,4160284.14929623,0.0,32420.0,258.0802919708,1830.8696420047,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
567691.0,566145.0,542475.0,7.0,0.0,32330.0,28618.0,1513.756684492,464.8457583548,2718.0279412568,2884430.08608556,0.0,28608.0,368.1523994812,1958.7941648534,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
312595.0,312562.0,289605.0,6.0,0.0,28524.0,24499.0,816.088772846,251.3932291667,4916.9052608007,5169769.19016619,0.0,23988.0,203.5123697917,1568.7996379657,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,BROWSING
13060395.0,13060376.0,13033612.0,7.0,0.0,12273322.0,12500948.0,41593.5541401274,11412.9702276708,111.6352147083,122282.059616114,0.0,12273322.0,8963.8949897049,321574.364652723,12535185.0,12500000.0,12535185.0,0.0,12273322.0,12300000.0,12273322.0,0.0,BROWSING
59370087.0,59241130.0,59370087.0,3.0,2.0,9971985.0,9977235.0,60327.016293279,47840.521353747,37.476785237,34143.3051967736,2.0,9841805.0,26695.1830035971,261291.494865822,2709232.0,8650185.4,23345934.0,8666759.28772716,1084545.0,4412906.2,9841805.0,3525964.52406635,BROWSING
82310837.0,82310837.0,82179294.0,10.0,1.0,8457055.0,8452495.0,90550.9757975798,70059.074168798,25.3186588298,23030.6004542269,1.0,8323351.0,39515.524243879,302213.667772291,1270459.0,5381394.66666667,11563634.0,3558878.01432025,1009280.0,2751548.4,8323351.0,2263829.38664301,BROWSING
91033461.0,91007809.0,91008196.0,3.0,0.0,45074541.0,45033981.0,293573.577419355,79552.6188811189,15.9941189097,16221.5517654547,0.0,45008937.0,62565.9525773196,1667995.78327044,45027288.0,45500000.0,45980521.0,674037.518350055,45002244.0,45000000.0,45008937.0,4732.6655808329,BROWSING
44199109.0,44199109.0,44067082.0,3.0,2.0,8279783.0,8114217.0,68419.673374613,46830.0552603613,35.950950957,36791.4882628064,2.0,8114217.0,27833.1920654912,294130.578903481,2602022.0,7267775.66666667,15942211.0,4705538.44083732,1751316.0,4157156.66666667,8114217.0,2545787.80044694,BROWSING
